product_id,product_name,product_price,product_quantity,date_updated,brand_id
1,Bagel - Whole White Sesame,430,97,2018-11-01,2
2,Sauce - Caesar Dressing,805,81,2018-12-28,3
3,Shiratamako - Rice Flour,799,71,2018-03-07,4
4,Tart - Raisin And Pecan,106,86,2019-01-18,5
5,Radish,247,22,2018-11-06,6
6,Juice - V8 Splash,125,67,2018-01-10,7
7,Red Currants,677,49,2018-10-01,6
8,Soup - Base Broth Beef,544,62,2019-03-09,8
9,Tomatoes Tear Drop Yellow,64,73,2019-02-09,6
10,Mussels - Cultivated,934,24,2018-07-31,6
11,Bread - Crumbs, Bulk,449,88,2019-01-12,9
12,Beans - Long, Chinese,473,47,2018-09-22,10
13,Beans - Navy, Dry,460,44,2018-01-20,10
14,Juice - V8 Splash,115,67,2018-01-13,7
15,Basil - Dry, Rubbed,869,21,2018-02-04,6
16,Apple - Granny Smith,506,72,2018-01-12,6
17,Lid - High Heat, Super Clear,123,5,2018-02-09,11
18,Oranges - Navel,478,46,2018-06-06,6
19,Berry Brulee,759,50,2018-08-25,6
20,Lobster - Canned Premium,761,57,2018-04-15,6
21,Sauce - Caesar Dressing,825,16,2019-04-10,3
22,Ham - Procutinni,570,8,2019-01-09,6
23,Veal - Ground,767,5,2018-12-19,6
24,Oil - Cooking Spray,420,6,2018-06-11,12
25,Extract - Vanilla,artificial,291,20,2018-06-08,13
26,Mushroom - Porcini, Dry,814,71,2018-07-26,6
27,Wine - Cabernet Sauvignon,741,54,2018-03-10,14
